MID005325527O'GRADY TOOL COMPANY          373 N. GRATIOT AVE. PO BOX 743MOUNT CLEMENS            MI43041                                  
MIG000001699ORE IDA FOODS                 5835 S. VINING ROAD           GREENVILLE               MI48838                                  
MID006016422OWENS-ILLINOIS INC.           500 PACKARD HWY               CHARLOTTE                MI48813                                  
MID005340948PARK SCREW PRODUCTS CO.,INC.  4308 - 13TH STREET            WYANDOTTE                MI48192                                  
MID005380126PARKE DAVIS & COMPANY         870 PARKDALE RD.              PLYMOUTH                 MI48170                                  
MID006031348PEERLESS PLATING COMPANY. INC.2554 SOUTH GETTY ST.          MUSKEGON                 MI49444                                  
MIG000000850PHOMAT CORP.                  29350 STEPHENSON HWY.         MADISON HEIGHTS          MI                                       
MID005504048PROCTER & GAMBLE PAPER PRODS. 437 S. MAIN ST.               CHEBOYGAN                MI49742                                  
MID005364187QUAKER CHEMICAL CORP.         14301 BIRWOOD AVE.            DETROIT                  MI48238                                  
MID980680466QUALITY METALCRAFT. INC.      33355 GLENDALE                LIVONIA                  MI48150                                  
MID001846526QUNINCY PROD DIV VALLEY IND'S.150 S. MAIN                   QUINCY                   MI49082                                  
MIG000003164R.V. SEAMAN CO.               1220 E. 9 MILE                HAZEL PARK               MI48080                                  
MID005349741RALPH SHRADER, INC.           3450 LOVETT                   DETROIT                  MI48210                                  
MID005515705REPUBLIC STEEL CORP. S & T DIV965 WANDA                     FERNDALE                 MI48220                                  
MID058343781ROBERTSHAW CTRLS SIMICON DIV  942 BROOKS AVE.               HOLLAND                  MI49423                                  
MIG000003115SAFETY KLEEN CORP.            5316 CUMMINGS AVE.            DEARBORN HEIGHTS         MI48125                                  
MID043766351SCIO PLASTICS INC.            62 DIVISION                   MILAN                    MI48160                                  
MIG000001312SEARS ROEBUCK & COMPANY       3131 E. MICHIGAN AVE.         LANSING                  MI48912                                  
MIG000030054SHELL OIL COMPANY             GRANDVIEW PLAZA               TRAVERSE CITY            MI49684                                  
MID095400982SHERWIN WILLIAMS COMPANY      20241 LIVERNOIS               DETROIT                  MI48221                                  
MID087738829STANDARD OIL CO.              24801 ECORSE RD               TAYLOR                   MI48037                                  
MID085889285SUN CHEMICAL CORP.            4925 EVANSTON AVE.            MUSKEGON                 MI49443                                  
MID092045665TEXACO, USAA                  2303 S. 3RD ST.               NILES                    MI49120                                  
MID044567162THERMO-CHEM DIV THOMAS SOLV C0P.O.BOX 51 4321 EVANSTON AVE. MUSKEGON                 MI49445                                  
MIG000000399TRI-STATE PRODUCTS            432 E. MAIN ST.               HUDSON                   MI49247                                  
MIE200000010U.S. BORAX & CHEMICAL CORP.   5470 HECLA AVE.               DETROIT                  MI48208                                  
MID006523385U.S. CHEMICAL, INC.           29163 CALLAHAN                ROSEVILLE                MI48066                                  
MID005339684UNION CARBIDE CORP.           21725 GROESBECK               WARREN                   MI48089                                  
MID005320932UNION PUMP CO                 87 CAPITAL AVE, S.W.          BATTLE CREEK             MI49016                                  
MID005368535UTILITY ENAMELING CO.         15754 DALE AVE.               DETROIT                  MI48223                                  
MIG000000509VALEMITE METALS, DIV VALERON  2321 E. WELLS RD.             CARO                     MI48723                                  
MIG005321484VALERON CORPORATION           31100 STEPHENSON HIGHWAY      MADISON HEIGHTS          MI48071                                  
MID084294304VOUGHT CORP.                  38111 VANDYKE                 STERLING HEIGHTS         MI48077                                  
MID006007090W-L MOLDING CO.               8212 SHAVER RD                PORTAGE                  MI49081                                  
MIG000003351WALKER MFG.                   P.O.BOX 157 3901 WILLIS RD.   GRASS LAKE               MI49240                                  
MID072763220WESTERN ELECTRIC CO.          909 SHELDON RD                PLYMOUTH                 MI48170                                  
MID045888450WHITE CLOUD PRODUCTS          1341 E. PINEHILL              WHITE CLOUD              MI49349                                  
MIG000003178X-I INDUSTRIES                11815 E. GRAND RIVER          BRIGHTON                 MI48116                                  
MID000717082XYCOM, INC.                   750 N. MAPLE RD.              SALINE                   MI48197                                  
MIG000003438YANKEE SCREW PRODUCTS         29866 JOHN R. HWY.            MADISON HEIGHTS          MI48071                                  
MID980620025ZIEBART INTERNATIONAL CORP.   26500 CAPITOL                 REDFORD                  MI48239                                  
MIG0000016203 M COMPANY                   23923 RESARCH DRIVE.          FARMINGTON               MI48024                                  
